bsu_id,bsu_desc,eco_id,eco_desc,pao_id,pao_desc,spn_id,spn_desc
"mdxF","maltodextrin ABC transport system (permease)",NA,NA,NA,NA,"SP_2109","maltodextrin ABC transporter permease"
"ywqM","putative transcriptional regulator (LysR family)","yfiE","predicted DNA-binding transcriptional regulator LYSR-type",NA,NA,NA,NA
"yqhH","putative RNA polymerase-associated helicase protein","hepA","RNA Polymerase (RNAP)-binding ATPase and RNAP recycling factor",NA,NA,NA,NA
"yvaQ","putative methyl-accepting transducer",NA,NA,"PA1608","chemotaxis transducer",NA,NA
"yxkF","putative transcriptional regulator",NA,NA,NA,NA,"SP_0593","orf"
"yhfW","putative Rieske [2Fe-2S] oxygenase","puuB","γ-glutamylputrescine oxidase","PA5309","oxidoreductase",NA,NA
"araA","L-arabinose isomerase","araA","L-arabinose isomerase monomer",NA,NA,NA,NA
"topA","DNA topoisomerase I","topA","DNA topoisomerase I","topA","DNA topoisomerase I","SP_1263","DNA topoisomerase I"
"yxkA","putative bacteriophage protein","ybcL","DLP12 prophage; periplasmic protein",NA,NA,NA,NA
"pdhD","dihydrolipoamide dehydrogenase E3 subunit of both pyruvate dehydrogenase and 2-oxoglutarate dehydrogenase complexes","lpd","E3 monomer","lpdV","dihydrolipoamide dehydrogenase",NA,NA
"rplT","ribosomal protein L20","rplT","50S ribosomal subunit protein L20","rplT","50S ribosomal protein L20","rplT","50S ribosomal protein L20"
"ydiS","DNA restriction enzyme component","mcrB","MrcB subunit of 5-methylcytosine restriction system",NA,NA,"SP_1251","endonuclease"
"codY","transcriptional regulator, GTP and BCAA-dependent",NA,NA,NA,NA,"SP_1584","transcriptional repressor CodY"
"ksgA","dimethyladenosine 16S ribosomal RNA transferase","rsmA","16S rRNA ","ksgA","dimethyladenosine transferase","ksgA","dimethyladenosine transferase"
"sipV","type I signal peptidase",NA,NA,"PA1303","signal peptidase",NA,NA
"nadR","transcriptional repressor of de novo NAD biosynthesis",NA,NA,NA,NA,"SP_1234","biotin repressor family transcriptional regulator"
"pps","putative phosphoenolpyruvate synthase","ppsA","phosphoenolpyruvate synthetase","ppsA","phosphoenolpyruvate synthase",NA,NA
"nagA","N-acetylglucosamine-6-phosphate deacetylase","nagA","","PA3758","N-acetylglucosamine-6-phosphate deacetylase","SP_2056","N-acetylglucosamine-6-phosphate deacetylase"
"gutB","glucitol (sorbitol) dehydrogenase","ydjJ","predicted oxidoreductase, Zn-dependent and NAD(P)-binding",NA,NA,NA,NA
"purR","transcriptional regulator of the purine biosynthesis operon",NA,NA,NA,NA,"SP_1979","pur operon repressor"
"alrA","D-alanine racemase","dadX","",NA,NA,"alr","alanine racemase"
"copA","copper transporter ATPase","copA","C","PA3920","metal transporting P-type ATPase","SP_0729","cation transporter E1-E2 family ATPase"
"wapA","cell wall-associated protein precursor, tRNase toxin","rhsD","RhsD protein in rhs element","PA2684","orf",NA,NA
"frlN","putative fructose-amino acid permease","ugpA","glycerol-3-phosphate ABC transporter - membrane subunit",NA,NA,"SP_1896","sugar ABC transporter permease"
"yvaC","putative integral inner membrane protein","yhfK","conserved inner membrane protein","PA0454","orf",NA,NA
"dacF","D-alanyl-D-alanine carboxypeptidase (penicilin binding protein)","dacC","penicillin-binding protein 6","dacC","D-ala-D-ala-carboxypeptidase",NA,NA
"ssuD","FMNH2-dependent aliphatic sulfonate monooxygenase","ssuD","alkanesulfonate monooxygenase, FMN","msuD","methanesulfonate sulfonatase MsuD",NA,NA
"accD","acetyl-CoA carboxylase (carboxyltransferase beta subunit)","accD","acetyl-CoA carboxyltransferase, β subunit","accD","acetyl-CoA carboxylase subunit beta","SP_0426","acetyl-CoA carboxylase subunit beta"
"coaD","phosphopantetheine adenylyltransferase","coaD","pantetheine-phosphate adenylyltransferase monomer","coaD","phosphopantetheine adenylyltransferase","coaD","phosphopantetheine adenylyltransferase"
"yrbF","conserved hypothetical protein","yajC","","PA3822","preprotein translocase subunit YajC","yajC","preprotein translocase subunit YajC"
"yyaM","putative efflux transporter",NA,NA,"PA4287","orf",NA,NA
"thyA","thymidylate synthase A",NA,NA,NA,NA,"thyA","thymidylate synthase"
"ylbN","conserved hypothetical protein",NA,NA,NA,NA,"SP_1280","orf"
"srfAB","surfactin synthetase",NA,NA,"PA2402","peptide synthase",NA,NA
"yteA","conserved hypothetical protein","dksA","RNA polymerase-binding transcription factor DksA","dksA","suppressor protein DksA",NA,NA
"glpP","glycerol-3-phosphate responding transcription antiterminator","ygcP","predicted anti-terminator regulatory protein",NA,NA,NA,NA
"ypmB","conserved hypothetical protein",NA,NA,NA,NA,"SP_1545","orf"
"comEA","membrane bound high-affinity DNA-binding receptor","ybaV","periplasmic protein associated with repression of competance",NA,NA,"SP_0954","competence protein CelA"
"ywnB","putative oxidoreductase",NA,NA,"PA0741","orf","SP_1627","orf"
"spoVID","morphogenetic spore protein (stage VI sporulation)",NA,NA,NA,NA,"SP_0899","orf"
"exuT","hexuronate transporter","yjjL","galactonate:H+ symporter",NA,NA,NA,NA
"panB","ketopantoate hydroxymethyltransferase","panB","3-methyl-2-oxobutanoate hydroxymethyltransferase monomer","panB","3-methyl-2-oxobutanoate hydroxymethyltransferase",NA,NA
"yxbC","conserved hypothetical protein","ycfD","conserved protein","PA2630","orf",NA,NA
"yxaC","putative murein hydrolase export regulator","yohK","putative seritonin transporter","PA3431","orf",NA,NA
"iolX","","yjhC","KpLE2 phage-like element; predicted oxidoreductase",NA,NA,"SP_1325","Gfo/Idh/MocA family oxidoreductase"
"bltD","spermine/spermidine acetyltransferase",NA,NA,"PA4114","spermidine acetyltransferase","SP_1019","acetyltransferase"
"yulC","rhamnulokinase","rhaB","L-rhamnulose kinase",NA,NA,"SP_2167","L-fuculose kinase fucK"
"parE","subunit B of DNA topoisomerase IV",NA,NA,NA,NA,"SP_0852","DNA topoisomerase IV subunit B"
"polC","DNA polymerase III (alpha subunit)",NA,NA,NA,NA,"polC","DNA polymerase III PolC"
"acoB","acetoin dehydrogenase E1 component (TPP-dependent beta subunit)",NA,NA,"acoB","acetoin catabolism protein AcoB",NA,NA
"yisY","putative hydrolase","mhpC","2-hydroxy-6-ketonona-2,4-dienedioate hydrolase","cpo","chloroperoxidase precursor",NA,NA
"ctsR","transcriptional regulator",NA,NA,NA,NA,"SP_2195","CtsR family transcriptional regulator"
"ilvE","ketomethiobutyrate-branched-chain/aromatic amino acid aminotransferase","ilvE","","ilvE","branched-chain amino acid aminotransferase","SP_0856","branched-chain amino acid aminotransferase"
"tlpA","methyl-accepting chemotaxis protein","trg","",NA,NA,NA,NA
"infB","initiation factor IF-2","infB","protein chain initiation factor IF2","infB","translation initiation factor IF-2","infB","translation initiation factor IF-2"
"yfjF","putative membrane protein","ynfA","conserved inner membrane protein","PA3275","orf",NA,NA
"pgm","phosphoglycerate mutase","gpmM","2,3-bisphosphoglycerate-independent phosphoglycerate mutase","pgm","phosphoglyceromutase",NA,NA
"pcrA","ATP-dependent DNA helicase","uvrD","DNA-dependent ATPase I and helicase II","uvrD","DNA-dependent helicase II","SP_1087","ATP-dependent DNA helicase PcrA"
"comFA","helicase competence protein",NA,NA,NA,NA,"SP_2208","helicase"
"cysE","serine acetyltransferase","cysE","serine acetyltransferase monomer","cysE","O-acetylserine synthase","SP_0589","serine acetyltransferase"
"argB","N-acetylglutamate 5-phosphotransferase (acetylglutamate kinase)","argB","acetylglutamate kinase monomer","argB","acetylglutamate kinase",NA,NA
"araE","arabinose-related compounds permease","xylE","xylose:",NA,NA,NA,NA
"prmA","ribosomal protein L11 methyltransferase","prmA","methyltransferase for 50S ribosomal subunit protein L11","prmA","ribosomal protein L11 methyltransferase","prmA","50S ribosomal protein L11 methyltransferase"
"adhA","putative dehydrogenase","yahK","aldehyde reductase, NADPH-dependent","PA2275","alcohol dehydrogenase","SP_0285","alcohol dehydrogenase"
"yqjB","conserved hypothetical protein","erfK","L,D-transpeptidase ErfK","PA2854","orf",NA,NA
"hemN","coproporphyrinogen III oxidase","yggW","predicted oxidoreductase","PA0386","coproporphyrinogen III oxidase","SP_1409","coproporphyrinogen III oxidase"
"tyrS","tyrosyl-tRNA synthetase","tyrS","tyrosyl-tRNA synthetase","tyrS","tyrosyl-tRNA synthetase","SP_2100","tyrosyl-tRNA synthetase"
"ileS","isoleucyl-tRNA synthetase","ileS","isoleucyl-tRNA synthetase","ileS","isoleucyl-tRNA synthetase","ileS","isoleucyl-tRNA synthetase"
"rpmC","ribosomal protein L29","rpmC","50S ribosomal subunit protein L29","rpmC","50S ribosomal protein L29","rpmC","50S ribosomal protein L29"
"pyrP","uracil permease","uraA","uracil:","uraA","uracil permease","SP_1286","uracil permease"
"yodM","putative phospholipid phosphatase",NA,NA,"PA4011","orf","SP_0489","PAP2 family protein"
"ytdP","putative membrane bound transcriptional regulator (AraC/XylS family)","yijO","predicted DNA-binding transcriptional regulator","PA1182","transcriptional regulator",NA,NA
"epsF","putative glycosyltransferase involved in extracellular matrix formation",NA,NA,NA,NA,"SP_0353","capsular polysaccharide biosynthesis protein Cps4H"
"ycnJ","putative copper import protein","yobA","conserved protein",NA,NA,NA,NA
"opuAB","glycine betaine ABC transporter - membrane subunit","proW","glycine betaine / proline ABC transporter - membrane subunit","PA5095","ABC transporter permease",NA,NA
"yusI","putative oxidoreductase with thioredoxin domain","arsC","arsenate reductase","PA0950","arsenate reductase","SP_1462","orf"
"xseA","exodeoxyribonuclease VII (large subunit)","xseA","exonuclease VII, large subunit","xseA","exodeoxyribonuclease VII large subunit","xseA","exodeoxyribonuclease VII large subunit"
"pbpF","penicillin-binding protein 2C required for spore germination",NA,NA,NA,NA,"SP_2010","penicillin-binding protein 2A"
"accB","acetyl-CoA carboxylase subunit (biotin carboxyl carrier subunit)","accB","biotinylated biotin-carboxyl carrier protein","accB","acetyl-CoA carboxylase biotin carboxyl carrier protein subunit","SP_0423","acetyl-CoA carboxylase biotin carboxyl carrier protein subunit"
"etfA","electron transfer flavoprotein (alpha subunit)","ydiR","putative subunit of YdiQ-YdiR flavoprotein","etfA","electron transfer flavoprotein subunit alpha",NA,NA
"ypgR","putative lyase",NA,NA,"PA2293","orf",NA,NA
"engA","GTPase essential for ribosome 50S subunit assembly","der","50S ribosomal subunit stability factor","PA3799","GTP-binding protein EngA","engA","GTP-binding protein EngA"
"yhgE","putative methyl-accepting protein",NA,NA,NA,NA,"SP_2233","orf"
"yshE","putative integral inner membrane protein","yjfL","conserved inner membrane protein",NA,NA,NA,NA
"fruR","transcriptional regulator (DeoR family)",NA,NA,NA,NA,"SP_0875","lactose phosphotransferase system repressor"
"xylR","transcriptional regulator","nagC","NagC DNA-binding transcriptional dual regulator",NA,NA,NA,NA
"dnaX","DNA polymerase III (gamma and tau subunits)","dnaX","DNA polymerase III, γ subunit","dnaX","DNA polymerase III subunits gamma/tau","SP_0865","DNA polymerase III subunits gamma and tau"
"mrpG","non essential component of Na+/H+ antiporter",NA,NA,"PA1059","monovalent cation/H+ antiporter subunit G",NA,NA
"mntH","manganese transporter","mntH","Mn(2+) / Fe(2+): H+ symporter MntH","PA4334","manganese transporter MntH",NA,NA
"adcA","Zn(II)-binding lipoprotein","znuA","Z","PA5498","adhesin","SP_2169","zinc ABC transporter zinc-binding lipoprotein"
"yvrO","putative ABC transporter (ATP-binding protein)","macB","MacAB-TolC macrolide efflux transport system - membrane subunit","pvdT","",NA,NA
"pncA","nicotinamidase",NA,NA,NA,NA,"SP_1583","isochorismatase"
"rbsD","ribose ABC transporter (membrane bound ribose binding)","rbsD","ribose pyranase",NA,NA,"SP_2165","fucose operon FucU protein"
"ribH","6,7-dimethyl-8-ribityllumazine synthase, beta subunit","ribE","","ribE","6,7-dimethyl-8-ribityllumazine synthase","ribH","6,7-dimethyl-8-ribityllumazine synthase"
"ppaX","pyrophosphatase / glycerol-3-phosphatase","gph","phosphoglycolate phosphatase","PA3172","phosphoglycolate phosphatase","SP_0104","HAD superfamily hydrolase"
"thiV","thiamine transporter, permease component",NA,NA,NA,NA,"SP_0719","orf"
"fabI","enoyl-acyl carrier protein reductase","fabI","enoyl-[acyl-carrier-protein] reductase subunit","fabI","NADH-dependent enoyl-ACP reductase",NA,NA
"putC","putative 1-pyrroline-5-carboxylate dehydrogenase","putA","fused PutA transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase","putA","bifunctional proline dehydrogenase/pyrroline-5-carboxylate dehydrogenase",NA,NA
"ykoJ","putative exported protein",NA,NA,"PA2659","orf",NA,NA
"glnR","transcriptional regulator (nitrogen metabolism)","mlrA","MlrA DNA binding transcriptional activator",NA,NA,"SP_0501","MerR family transcriptional regulator"
"murQ","D-lactyl ether N-acetylmuramic-6-phosphate acid etherase","murQ","",NA,NA,NA,NA
"pckA","phosphoenolpyruvate carboxykinase","pck","phosphoenolpyruvate carboxykinase (ATP)","pckA","phosphoenolpyruvate carboxykinase",NA,NA
"smc","chromosome condensation and segregation SMC ATPase",NA,NA,"PA1527","orf","SP_1247","orf"
"yfmL","putative ATP-dependent RNA helicase",NA,NA,NA,NA,"SP_1483","DEAD/DEAH box helicase"
"folK","7,8-dihydro-6-hydroxymethylpterin pyrophosphokinase","folK","6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase","folK","2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase","SP_0292","bifunctional folate synthesis protein"
"ytlC","putative ABC transporter component, ATP-binding",NA,NA,"PA3514","ATP-binding component of ABC transporter","SP_2196","ABC transporter ATP-binding protein"
"tsaB","biosynthesis of ","tsaB","protein involved in threonylcarbamoyladenosine biosynthesis","PA3685","orf","SP_0127","orf"
"kdgA","2-keto-3-deoxygluconate-6-phosphate aldolase","eda","","PA3131","aldolase","SP_0317","keto-hydroxyglutarate-aldolase/keto-deoxy-phosphogluconate aldolase"
"cdaA","diadenylate cyclase",NA,NA,NA,NA,"SP_1561","orf"
"ywpE","putative sortase",NA,NA,NA,NA,"SP_1218","orf"
"ctaO","protoheme IX farnesyltransferase (heme O synthase)","cyoE","heme O synthase","cyoE","protoheme IX farnesyltransferase",NA,NA
"yhjN","putative integral inner membrane protein","abrB","predicted regulator","PA0751","orf",NA,NA
"addB","ATP-dependent deoxyribonuclease (subunit B)",NA,NA,NA,NA,"SP_1151","exonuclease RexB"
"ydjP","putative peroxydase","rutD","predicted aminoacrylate hydrolase",NA,NA,NA,NA
"fliP","component of the flagellar export machinery","fliP","flagellar biosynthesis protein FliP","fliP","flagellar biosynthesis protein FliP",NA,NA
"ydcH","putative transcriptional regulator",NA,NA,"PA1603","transcriptional regulator",NA,NA
"yeaC","conserved hypothetical protein",NA,NA,"PA4322","orf",NA,NA
"hutU","urocanase",NA,NA,"hutU","urocanate hydratase",NA,NA
"immR","phage element (ICEBs1)transcriptional regulator (Xre family)","dicA","DicA DNA-binding transcriptional dual regulator",NA,NA,NA,NA
"upp","uracil phosphoribosyltransferase","upp","","upp","uracil phosphoribosyltransferase","upp","uracil phosphoribosyltransferase"
"nupC","pyrimidine-nucleoside Na+(H+) cotransporter","nupC","nucleoside:",NA,NA,NA,NA
"yqfO","conserved hypothetical protein","ybgI","conserved metal-binding protein","PA3762","orf","SP_1609","orf"
"yhdT","putative membrane protein","yfjD","predicted inner membrane protein",NA,NA,NA,NA
"snaA","putative N-acetyltransferase",NA,NA,"PA4863","orf",NA,NA
"yitL","putative RNA-binding protein",NA,NA,"PA1116","orf","SP_0946","orf"
"murD","UDP-N-acetylmuramoylalanyl-D-glutamate ligase","murD","UDP","murD","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase","murD","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase"
"odhA","2-oxoglutarate dehydrogenase (E1 subunit)","sucA","subunit of E1(0) component of 2-oxoglutarate dehydrogenase","sucA","2-oxoglutarate dehydrogenase E1 component",NA,NA
"argH","argininosuccinate lyase","argH","argininosuccinate lyase","argH","argininosuccinate lyase",NA,NA
"nusG","transcription antitermination factor","nusG","transcription termination factor NusG","nusG","transcription antitermination protein NusG","nusG","transcription antitermination protein NusG"
"ydeF","putative PLP-dependent transcriptional regulator",NA,NA,"PA2100","transcriptional regulator",NA,NA
"lutB","putative iron-sulfur oxidoreductase","ykgF","predicted amino acid dehydrogenase with NAD(P)-binding domain and ferridoxin-like domain",NA,NA,NA,NA
"adhB","putative oxidoreductase","ybdR","predicted oxidoreductase, Zn-dependent and NAD(P)-binding","PA2188","alcohol dehydrogenase","SP_2055","zinc-containing alcohol dehydrogenase"
"ywcD","putative integral inner membrane protein",NA,NA,NA,NA,"SP_1011","GtrA family protein"
"dtpT","di-tripeptide-proton ABC symporter","tppB","tripeptide / dipeptide:",NA,NA,NA,NA
"pucF","allantoate amidohydrolase","allC","allantoate amidohydrolase monomer","PA0444","allantoate amidohydrolase",NA,NA
